2026-07-22 03:17:07 | INFO | Starting Scheduler...
2026-07-22 03:17:10 | INFO | Starting Scheduler...
2026-07-22 03:20:11 | INFO | Starting Scheduler...
2026-07-22 03:20:30 | INFO | Starting Scheduler...
2026-07-22 03:20:54 | INFO | Starting Scheduler...
2026-07-22 03:21:10 | INFO | Starting Scheduler...
2026-07-22 03:30:30 | INFO | Starting Scheduler...
2026-07-22 03:30:37 | INFO | Starting Scheduler...
2026-07-22 03:34:22 | INFO | Starting Scheduler...
2026-07-22 03:34:25 | INFO | Starting Scheduler...
2026-07-22 03:34:51 | INFO | Requested Data: username='qsd' phone_number='0669077156' appt_at=datetime.datetime(2026, 7, 23, 0, 0, tzinfo=TzInfo(UTC))
2026-07-22 03:34:52 | SUCCESS | Appointment registred with ID: #2
2026-07-22 16:22:26 | INFO | Starting Scheduler...
2026-07-22 16:22:31 | INFO | Starting Scheduler...
2026-07-22 16:36:03 | INFO | Starting Scheduler...
2026-07-22 16:36:08 | INFO | Starting Scheduler...
2026-07-22 17:10:38 | INFO | Starting Scheduler...
2026-07-22 17:10:47 | INFO | Starting Scheduler...
2026-07-22 17:10:51 | INFO | Starting Scheduler...
2026-07-22 17:48:29 | INFO | Starting Scheduler...
2026-07-22 17:48:38 | INFO | Starting Scheduler...
2026-07-22 17:48:46 | INFO | Starting Scheduler...
2026-07-22 17:48:50 | INFO | Starting Scheduler...
2026-07-22 21:22:25 | INFO | Starting Scheduler...
2026-07-22 21:22:31 | INFO | Starting Scheduler...
2026-07-22 22:21:01 | INFO | [#2]Appointment Deleted
2026-07-22 22:21:20 | INFO | Requested Data: username='عمرو' phone_number='0669077156' appt_at=datetime.datetime(2026, 7, 23, 0, 0, tzinfo=TzInfo(UTC))
2026-07-22 22:21:20 | ERROR | Faild to Send SMS, rollback...
NoneType: None
2026-07-22 22:22:17 | INFO | Requested Data: username='عمرو' phone_number='0669077156' appt_at=datetime.datetime(2026, 7, 23, 0, 0, tzinfo=TzInfo(UTC))
2026-07-22 22:22:17 | ERROR | Faild to Send SMS, rollback...
NoneType: None
2026-07-22 22:24:36 | INFO | [#1]Appointment Updated
2026-07-22 22:24:52 | INFO | Requested Data: username='بدور' phone_number='0699999999' appt_at=datetime.datetime(2026, 7, 23, 0, 0, tzinfo=TzInfo(UTC))
2026-07-22 22:24:52 | ERROR | Faild to Send SMS, rollback...
NoneType: None
2026-07-22 22:24:58 | INFO | Requested Data: username='بدور' phone_number='0699999999' appt_at=datetime.datetime(2026, 7, 23, 0, 0, tzinfo=TzInfo(UTC))
2026-07-22 22:24:58 | SUCCESS | Appointment registred with ID: #2
2026-07-22 22:26:03 | INFO | [#2]Appointment Updated
2026-07-22 22:27:48 | INFO | Starting Scheduler...
2026-07-22 22:27:53 | INFO | Starting Scheduler...
2026-07-22 22:28:42 | INFO | Starting Scheduler...
2026-07-22 22:28:56 | INFO | Starting Scheduler...
